threshold,donor,percent,dref,group
0,any,4.8,>0,vh_name_cdrh3_length
10,any,4.8,>0,vh_name_cdrh3_length
20,any,5,>0,vh_name_cdrh3_length
30,any,5.3,>0,vh_name_cdrh3_length
40,any,5.7,>0,vh_name_cdrh3_length
50,any,6.8,>0,vh_name_cdrh3_length
60,any,12.6,>0,vh_name_cdrh3_length
70,any,30.5,>0,vh_name_cdrh3_length
80,any,62.1,>0,vh_name_cdrh3_length
90,any,74.7,>0,vh_name_cdrh3_length
100,any,81.9,>0,vh_name_cdrh3_length
0,d1-d2,4.1,>0,vh_name_cdrh3_length
10,d1-d2,4.8,>0,vh_name_cdrh3_length
20,d1-d2,5,>0,vh_name_cdrh3_length
30,d1-d2,5.3,>0,vh_name_cdrh3_length
40,d1-d2,5.8,>0,vh_name_cdrh3_length
50,d1-d2,7.1,>0,vh_name_cdrh3_length
60,d1-d2,14.3,>0,vh_name_cdrh3_length
70,d1-d2,37.7,>0,vh_name_cdrh3_length
80,d1-d2,61.9,>0,vh_name_cdrh3_length
90,d1-d2,66.3,>0,vh_name_cdrh3_length
100,d1-d2,71.2,>0,vh_name_cdrh3_length
0,d1-d3,5.4,>0,vh_name_cdrh3_length
10,d1-d3,5.1,>0,vh_name_cdrh3_length
20,d1-d3,5.3,>0,vh_name_cdrh3_length
30,d1-d3,5.6,>0,vh_name_cdrh3_length
40,d1-d3,6,>0,vh_name_cdrh3_length
50,d1-d3,7.6,>0,vh_name_cdrh3_length
60,d1-d3,13.9,>0,vh_name_cdrh3_length
70,d1-d3,29.8,>0,vh_name_cdrh3_length
80,d1-d3,62.1,>0,vh_name_cdrh3_length
90,d1-d3,78.2,>0,vh_name_cdrh3_length
100,d1-d3,69.4,>0,vh_name_cdrh3_length
0,d1-d4,5.2,>0,vh_name_cdrh3_length
10,d1-d4,4.9,>0,vh_name_cdrh3_length
20,d1-d4,5.1,>0,vh_name_cdrh3_length
30,d1-d4,5.3,>0,vh_name_cdrh3_length
40,d1-d4,5.7,>0,vh_name_cdrh3_length
50,d1-d4,6.6,>0,vh_name_cdrh3_length
60,d1-d4,12.7,>0,vh_name_cdrh3_length
70,d1-d4,30.1,>0,vh_name_cdrh3_length
80,d1-d4,67.1,>0,vh_name_cdrh3_length
90,d1-d4,79.2,>0,vh_name_cdrh3_length
100,d1-d4,92.1,>0,vh_name_cdrh3_length
0,d2-d3,4.4,>0,vh_name_cdrh3_length
10,d2-d3,4.5,>0,vh_name_cdrh3_length
20,d2-d3,4.8,>0,vh_name_cdrh3_length
30,d2-d3,5,>0,vh_name_cdrh3_length
40,d2-d3,5.4,>0,vh_name_cdrh3_length
50,d2-d3,6.5,>0,vh_name_cdrh3_length
