
count = 2, nrel = 1.0001, light chain coherence = 76.1%, used 0.2 minutes
count = 3, nrel = 1.0004, light chain coherence = 76.1%, used 0.2 minutes
count = 5, nrel = 1.0005, light chain coherence = 76.1%, used 0.2 minutes
count = 6, nrel = 1.0005, light chain coherence = 76.1%, used 0.2 minutes
count = 7, nrel = 1.0050, light chain coherence = 76.0%, used 0.2 minutes
count = 8, nrel = 1.0076, light chain coherence = 76.0%, used 0.2 minutes
count = 10, nrel = 1.0082, light chain coherence = 76.0%, used 0.2 minutes
count = 16, nrel = 1.0090, light chain coherence = 76.1%, used 0.3 minutes
count = 18, nrel = 1.0102, light chain coherence = 76.0%, used 0.3 minutes
count = 21, nrel = 1.0220, light chain coherence = 76.0%, used 0.3 minutes
count = 24, nrel = 1.0238, light chain coherence = 76.0%, used 0.3 minutes
count = 25, nrel = 1.0374, light chain coherence = 75.9%, used 0.3 minutes
count = 28, nrel = 1.0385, light chain coherence = 75.9%, used 0.3 minutes
count = 29, nrel = 1.0462, light chain coherence = 75.8%, used 0.3 minutes
count = 31, nrel = 1.0471, light chain coherence = 75.7%, used 0.3 minutes
count = 32, nrel = 1.0518, light chain coherence = 75.9%, used 0.3 minutes
count = 35, nrel = 1.0523, light chain coherence = 75.9%, used 0.4 minutes
count = 36, nrel = 1.0552, light chain coherence = 75.9%, used 0.4 minutes
count = 42, nrel = 1.0555, light chain coherence = 75.9%, used 0.4 minutes
count = 44, nrel = 1.0588, light chain coherence = 75.9%, used 0.4 minutes
count = 46, nrel = 1.0608, light chain coherence = 75.9%, used 0.4 minutes
count = 49, nrel = 1.0727, light chain coherence = 76.0%, used 0.4 minutes
count = 51, nrel = 1.0762, light chain coherence = 75.9%, used 0.4 minutes
count = 53, nrel = 1.0808, light chain coherence = 75.6%, used 0.4 minutes
count = 55, nrel = 1.0980, light chain coherence = 75.5%, used 0.5 minutes
count = 56, nrel = 1.1094, light chain coherence = 75.7%, used 0.5 minutes
count = 59, nrel = 1.1228, light chain coherence = 75.8%, used 0.5 minutes
count = 61, nrel = 1.1228, light chain coherence = 75.8%, used 0.5 minutes
count = 64, nrel = 1.1246, light chain coherence = 75.7%, used 0.5 minutes
count = 66, nrel = 1.1295, light chain coherence = 75.7%, used 0.5 minutes
count = 74, nrel = 1.1302, light chain coherence = 75.6%, used 0.5 minutes
count = 77, nrel = 1.1320, light chain coherence = 75.6%, used 0.5 minutes
count = 78, nrel = 1.1371, light chain coherence = 75.6%, used 0.5 minutes
count = 79, nrel = 1.1459, light chain coherence = 75.6%, used 0.5 minutes
count = 80, nrel = 1.1481, light chain coherence = 75.6%, used 0.5 minutes
